"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Terminal Widget","Terminal view insert","Alt+V","Terminal Widget"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Terminal Widget","Terminal view insert","Alt+T","Terminal Widget"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Window","Minimize Active View or Editor","Alt+M","In Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Embedded Xtext Editor context"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
